"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"ConsoleSupportTest\GraphicsOutputProtocolTest","20","4","16"
"Total service\Protocol","20","4","16"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
          /VenHw(e61d73b9-a384-4acc-aeab-82e828f3628b)/Scsi(0,0)/HD(1,MBR,0x57e0ee0e,0x800,0x1ff800)
         Handle:      [06]
         Media Type:  HardDisk
         Removable:   Yes
         Current Dir: FS0:
     BLK0: Alias(s):
          /VenHw(e61d73b9-a384-4acc-aeab-82e828f3628b)/Scsi(0,0)
         Handle:      [05]
         Media Type:  Unknown
         Removable:   Yes
         Current Dir: BLK0:
memmap
Type       Start            End              # Pages          Attributes
Available  0000000000000000-000000000009FFFF 00000000000000A0 0000000000000008
Reserved   00000000000A0000-00000000000FFFFF 0000000000000060 0000000000000008
Available  0000000000100000-0000000002739FFF 000000000000263A 0000000000000008
LoaderCode 000000000273A000-0000000002803FFF 00000000000000CA 0000000000000008
Available  0000000002804000-000000000288EFFF 000000000000008B 0000000000000008
BS_Data    000000000288F000-00000000029E2FFF 0000000000000154 0000000000000008
Reserved   00000000029E3000-00000000029E3FFF 0000000000000001 0000000000000008
BS_Data    00000000029E4000-00000000029E5FFF 0000000000000002 0000000000000008
Reserved   00000000029E6000-00000000029E7FFF 0000000000000002 0000000000000008
BS_Data    00000000029E8000-00000000029EDFFF 0000000000000006 0000000000000008
Reserved   00000000029EE000-00000000029EEFFF 0000000000000001 0000000000000008
BS_Data    00000000029EF000-0000000002A03FFF 0000000000000015 0000000000000008
Reserved   0000000002A04000-0000000002A04FFF 0000000000000001 0000000000000008
BS_Data    0000000002A05000-0000000002A05FFF 0000000000000001 0000000000000008
Reserved   0000000002A06000-0000000002A06FFF 0000000000000001 0000000000000008
BS_Data    0000000002A07000-000000000479FFFF 0000000000001D99 0000000000000008
LoaderData 00000000047A0000-00000000047A0FFF 0000000000000001 0000000000000008
BS_Data    00000000047A1000-00000000047DCFFF 000000000000003C 0000000000000008
Reserved   00000000047DD000-00000000047DFFFF 0000000000000003 0000000000000008
BS_Data    00000000047E0000-00000000047E1FFF 0000000000000002 0000000000000008
Reserved   00000000047E2000-00000000047E4FFF 0000000000000003 0000000000000008
BS_Data    00000000047E5000-00000000047E8FFF 0000000000000004 0000000000000008
Reserved   00000000047E9000-00000000047E9FFF 0000000000000001 0000000000000008
BS_Data    00000000047EA000-00000000047EAFFF 0000000000000001 0000000000000008
Reserved   00000000047EB000-00000000047EBFFF 0000000000000001 0000000000000008
BS_Data    00000000047EC000-00000000047ECFFF 0000000000000001 0000000000000008
Reserved   00000000047ED000-00000000047EDFFF 0000000000000001 0000000000000008
BS_Data    00000000047EE000-00000000047F2FFF 0000000000000005 0000000000000008
Reserved   00000000047F3000-00000000047F3FFF 0000000000000001 0000000000000008
BS_Data    00000000047F4000-00000000047F4FFF 0000000000000001 0000000000000008
Reserved   00000000047F5000-00000000047F5FFF 0000000000000001 0000000000000008
BS_Data    00000000047F6000-00000000047F6FFF 0000000000000001 0000000000000008
Reserved   00000000047F7000-00000000047F7FFF 0000000000000001 0000000000000008
BS_Data    00000000047F8000-00000000047FCFFF 0000000000000005 0000000000000008
Reserved   00000000047FD000-00000000047FDFFF 0000000000000001 0000000000000008
BS_Data    00000000047FE000-00000000047FEFFF 0000000000000001 0000000000000008
LoaderData 00000000047FF000-00000000047FFFFF 0000000000000001 0000000000000008
BS_Data    0000000004800000-0000000004802FFF 0000000000000003 0000000000000008
LoaderData 0000000004803000-0000000004803FFF 0000000000000001 0000000000000008
BS_Data    0000000004804000-0000000004804FFF 0000000000000001 0000000000000008
Reserved   0000000004805000-0000000004805FFF 0000000000000001 0000000000000008
BS_Data    0000000004806000-0000000004806FFF 0000000000000001 0000000000000008
LoaderData 0000000004807000-0000000004807FFF 0000000000000001 0000000000000008
BS_Data    0000000004808000-0000000004808FFF 0000000000000001 0000000000000008
Reserved   0000000004809000-0000000004809FFF 0000000000000001 0000000000000008
BS_Data    000000000480A000-000000000480AFFF 0000000000000001 0000000000000008
LoaderData 000000000480B000-000000000480BFFF 0000000000000001 0000000000000008
BS_Data    000000000480C000-000000000480CFFF 0000000000000001 0000000000000008
LoaderData 000000000480D000-000000000480DFFF 0000000000000001 0000000000000008
BS_Data    000000000480E000-0000000004812FFF 0000000000000005 0000000000000008
Reserved   0000000004813000-0000000004813FFF 0000000000000001 0000000000000008
BS_Data    0000000004814000-0000000004814FFF 0000000000000001 0000000000000008
LoaderData 0000000004815000-0000000004816FFF 0000000000000002 0000000000000008
BS_Data    0000000004817000-0000000004817FFF 0000000000000001 0000000000000008
LoaderData 0000000004818000-0000000004819FFF 0000000000000002 0000000000000008
BS_Data    000000000481A000-000000000481AFFF 0000000000000001 0000000000000008
LoaderData 000000000481B000-000000000481EFFF 0000000000000004 0000000000000008
BS_Data    000000000481F000-0000000004820FFF 0000000000000002 0000000000000008
LoaderData 0000000004821000-0000000004824FFF 0000000000000004 0000000000000008
BS_Data    0000000004825000-0000000004825FFF 0000000000000001 0000000000000008
LoaderData 0000000004826000-0000000004827FFF 0000000000000002 0000000000000008
BS_Data    0000000004828000-0000000004828FFF 0000000000000001 0000000000000008
LoaderData 0000000004829000-000000000482AFFF 0000000000000002 0000000000000008
BS_Data    000000000482B000-000000000482BFFF 0000000000000001 0000000000000008
LoaderData 000000000482C000-000000000482DFFF 0000000000000002 0000000000000008
BS_Data    000000000482E000-000000000482EFFF 0000000000000001 0000000000000008
LoaderData 000000000482F000-0000000004830FFF 0000000000000002 0000000000000008
BS_Data    0000000004831000-0000000004831FFF 0000000000000001 0000000000000008
LoaderData 0000000004832000-0000000004835FFF 0000000000000004 0000000000000008
BS_Data    0000000004836000-0000000004837FFF 0000000000000002 0000000000000008
LoaderData 0000000004838000-000000000483BFFF 0000000000000004 0000000000000008
BS_Data    000000000483C000-000000000483CFFF 0000000000000001 0000000000000008
LoaderData 000000000483D000-000000000483EFFF 0000000000000002 0000000000000008
BS_Data    000000000483F000-000000000483FFFF 0000000000000001 0000000000000008
LoaderData 0000000004840000-0000000004841FFF 0000000000000002 0000000000000008
BS_Data    0000000004842000-0000000004842FFF 0000000000000001 0000000000000008
LoaderData 0000000004843000-0000000004844FFF 0000000000000002 0000000000000008
BS_Data    0000000004845000-0000000004845FFF 0000000000000001 0000000000000008
LoaderData 0000000004846000-0000000004847FFF 0000000000000002 0000000000000008
BS_Data    0000000004848000-0000000004848FFF 0000000000000001 0000000000000008
LoaderData 0000000004849000-000000000484AFFF 0000000000000002 0000000000000008
BS_Data    000000000484B000-000000000484BFFF 0000000000000001 0000000000000008
LoaderData 000000000484C000-000000000484DFFF 0000000000000002 0000000000000008
BS_Data    000000000484E000-000000000484EFFF 0000000000000001 0000000000000008
LoaderData 000000000484F000-0000000004852FFF 0000000000000004 0000000000000008
BS_Data    0000000004853000-0000000004854FFF 0000000000000002 0000000000000008
LoaderData 0000000004855000-0000000004858FFF 0000000000000004 0000000000000008
BS_Data    0000000004859000-0000000004859FFF 0000000000000001 0000000000000008
LoaderData 000000000485A000-000000000485BFFF 0000000000000002 0000000000000008
