"Self Certification Test Report"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.3","0","0","4F13E7BA-B35A-4BF7-B1C0-FE399C4997FE","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode CallQueryMode() with the ModeNumber the SetMode() set ,then compare the InfostructureQueryMode()returns with current mode of graphic device in order to verify whether they are same, and at last dump the Infostructure.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:547: dump of query result:ver:0, hRes:1024, VRes:768, PixelFmt:1, RMsk:0,GMsk:0,BMsk:0,ReserveMask:0,PixelPerScanline:1024","0x00010000","8B191407-7AEC-4826-A6A8-27FDDB67F135"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.4","0","0","8776B9DC-711E-4E36-9921-7EA7C4C7EE6D","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode  CallSetMode()with valid MaxMode.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestConformance.c:590: mode:1,Status = Unsupported,Expected =  EFI_UNSUPPORTED ","0x00010000","8B191407-7AEC-4826-A6A8-27FDDB67F135"
"ConsoleSupportTest\GraphicsOutputProtocolTest","5.6.6.2.1","0","0","B3A4939B-D00A-4DA7-AF6D-F3EECBF9990C","PASS","EFI_GRAPHICS_OUTPUT_PROTOCOL.SetMode SetMode() returns EFI_SUCCESS when setting the graphics device and the set of active video output devices to the video mode specified by ModeNumber.","c:\work\sct\utwg\uefi-sct\SctPkg\TestCase\UEFI\EFI\Protocol\GraphicsOutput\BlackBoxTest\GraphicsOutputBBTestFunction.c:525:Status:Success, Expected:EFI_SUCCESS","0x00010000","431549C4-EC39-4995-BFB7-6CCB075BF1BE"
 
map -v
Mapping table
      FS0: Alias(s):HD0a0b:;BLK1:
          /VenHw(e61d73b9-a384-4acc-aeab-82e828f3628b)/Scsi(0,0)/HD(1,MBR,0xb8d3f048,0x800,0x1ff800)
         Handle:      [06]
         Media Type:  HardDisk
         Removable:   Yes
         Current Dir: FS0:
     BLK0: Alias(s):
          /VenHw(e61d73b9-a384-4acc-aeab-82e828f3628b)/Scsi(0,0)
         Handle:      [05]
         Media Type:  Unknown
         Removable:   Yes
         Current Dir: BLK0:
memmap
Type       Start            End              # Pages          Attributes
Available  0000000000000000-000000000009FFFF 00000000000000A0 0000000000000008
Reserved   00000000000A0000-00000000000FFFFF 0000000000000060 0000000000000008
Available  0000000000100000-00000000036FAFFF 00000000000035FB 0000000000000008
BS_Data    00000000036FB000-00000000036FBFFF 0000000000000001 0000000000000008
Available  00000000036FC000-00000000036FEFFF 0000000000000003 0000000000000008
BS_Data    00000000036FF000-00000000036FFFFF 0000000000000001 0000000000000008
Available  0000000003700000-0000000003702FFF 0000000000000003 0000000000000008
BS_Data    0000000003703000-0000000003703FFF 0000000000000001 0000000000000008
Available  0000000003704000-0000000003706FFF 0000000000000003 0000000000000008
BS_Data    0000000003707000-0000000003762FFF 000000000000005C 0000000000000008
Available  0000000003763000-000000000377AFFF 0000000000000018 0000000000000008
BS_Data    000000000377B000-000000000377BFFF 0000000000000001 0000000000000008
Available  000000000377C000-000000000377CFFF 0000000000000001 0000000000000008
BS_Data    000000000377D000-000000000377FFFF 0000000000000003 0000000000000008
Available  0000000003780000-0000000003780FFF 0000000000000001 0000000000000008
BS_Data    0000000003781000-0000000003786FFF 0000000000000006 0000000000000008
Available  0000000003787000-00000000042FAFFF 0000000000000B74 0000000000000008
LoaderData 00000000042FB000-00000000042FBFFF 0000000000000001 0000000000000008
BS_Data    00000000042FC000-00000000042FCFFF 0000000000000001 0000000000000008
LoaderData 00000000042FD000-00000000042FDFFF 0000000000000001 0000000000000008
BS_Data    00000000042FE000-00000000042FEFFF 0000000000000001 0000000000000008
LoaderData 00000000042FF000-00000000042FFFFF 0000000000000001 0000000000000008
BS_Data    0000000004300000-0000000004300FFF 0000000000000001 0000000000000008
LoaderData 0000000004301000-0000000004301FFF 0000000000000001 0000000000000008
BS_Data    0000000004302000-0000000004302FFF 0000000000000001 0000000000000008
LoaderData 0000000004303000-0000000004303FFF 0000000000000001 0000000000000008
BS_Data    0000000004304000-0000000004304FFF 0000000000000001 0000000000000008
LoaderData 0000000004305000-0000000004305FFF 0000000000000001 0000000000000008
BS_Data    0000000004306000-0000000004306FFF 0000000000000001 0000000000000008
LoaderData 0000000004307000-0000000004307FFF 0000000000000001 0000000000000008
BS_Data    0000000004308000-0000000004308FFF 0000000000000001 0000000000000008
LoaderData 0000000004309000-0000000004309FFF 0000000000000001 0000000000000008
BS_Data    000000000430A000-000000000430AFFF 0000000000000001 0000000000000008
LoaderData 000000000430B000-000000000430BFFF 0000000000000001 0000000000000008
BS_Data    000000000430C000-000000000430CFFF 0000000000000001 0000000000000008
LoaderData 000000000430D000-000000000430DFFF 0000000000000001 0000000000000008
BS_Data    000000000430E000-000000000430EFFF 0000000000000001 0000000000000008
LoaderData 000000000430F000-000000000430FFFF 0000000000000001 0000000000000008
BS_Data    0000000004310000-0000000004310FFF 0000000000000001 0000000000000008
LoaderData 0000000004311000-0000000004311FFF 0000000000000001 0000000000000008
BS_Data    0000000004312000-0000000004312FFF 0000000000000001 0000000000000008
LoaderData 0000000004313000-0000000004313FFF 0000000000000001 0000000000000008
BS_Data    0000000004314000-0000000004314FFF 0000000000000001 0000000000000008
LoaderData 0000000004315000-0000000004315FFF 0000000000000001 0000000000000008
BS_Data    0000000004316000-0000000004316FFF 0000000000000001 0000000000000008
LoaderData 0000000004317000-0000000004317FFF 0000000000000001 0000000000000008
BS_Data    0000000004318000-0000000004318FFF 0000000000000001 0000000000000008
LoaderData 0000000004319000-0000000004319FFF 0000000000000001 0000000000000008
BS_Data    000000000431A000-000000000431AFFF 0000000000000001 0000000000000008
LoaderData 000000000431B000-000000000431BFFF 0000000000000001 0000000000000008
BS_Data    000000000431C000-000000000431CFFF 0000000000000001 0000000000000008
LoaderData 000000000431D000-000000000431DFFF 0000000000000001 0000000000000008
BS_Data    000000000431E000-000000000431EFFF 0000000000000001 0000000000000008
LoaderData 000000000431F000-000000000431FFFF 0000000000000001 0000000000000008
BS_Data    0000000004320000-0000000004320FFF 0000000000000001 0000000000000008
LoaderData 0000000004321000-0000000004321FFF 0000000000000001 0000000000000008
BS_Data    0000000004322000-0000000004322FFF 0000000000000001 0000000000000008
LoaderData 0000000004323000-0000000004323FFF 0000000000000001 0000000000000008
BS_Data    0000000004324000-0000000004324FFF 0000000000000001 0000000000000008
LoaderData 0000000004325000-0000000004325FFF 0000000000000001 0000000000000008
BS_Data    0000000004326000-0000000004326FFF 0000000000000001 0000000000000008
LoaderData 0000000004327000-0000000004327FFF 0000000000000001 0000000000000008
BS_Data    0000000004328000-0000000004328FFF 0000000000000001 0000000000000008
LoaderData 0000000004329000-0000000004329FFF 0000000000000001 0000000000000008
BS_Data    000000000432A000-000000000432AFFF 0000000000000001 0000000000000008
LoaderData 000000000432B000-000000000432BFFF 0000000000000001 0000000000000008
BS_Data    000000000432C000-000000000432CFFF 0000000000000001 0000000000000008
LoaderData 000000000432D000-000000000432DFFF 0000000000000001 0000000000000008
BS_Data    000000000432E000-000000000432EFFF 0000000000000001 0000000000000008
LoaderData 000000000432F000-000000000432FFFF 0000000000000001 0000000000000008
BS_Data    0000000004330000-0000000004330FFF 0000000000000001 0000000000000008
LoaderData 0000000004331000-0000000004331FFF 0000000000000001 0000000000000008
BS_Data    0000000004332000-0000000004332FFF 0000000000000001 0000000000000008
LoaderData 0000000004333000-0000000004333FFF 0000000000000001 0000000000000008
BS_Data    0000000004334000-0000000004334FFF 0000000000000001 0000000000000008
LoaderData 0000000004335000-0000000004335FFF 0000000000000001 0000000000000008
BS_Data    0000000004336000-0000000004336FFF 0000000000000001 0000000000000008
LoaderData 0000000004337000-0000000004337FFF 0000000000000001 0000000000000008
BS_Data    0000000004338000-0000000004338FFF 0000000000000001 0000000000000008
LoaderData 0000000004339000-0000000004339FFF 0000000000000001 0000000000000008
BS_Data    000000000433A000-000000000433AFFF 0000000000000001 0000000000000008
LoaderData 000000000433B000-000000000433BFFF 0000000000000001 0000000000000008
BS_Data    000000000433C000-000000000433CFFF 0000000000000001 0000000000000008
LoaderData 000000000433D000-000000000433DFFF 0000000000000001 0000000000000008
BS_Data    000000000433E000-000000000433EFFF 0000000000000001 0000000000000008
LoaderData 000000000433F000-000000000433FFFF 0000000000000001 0000000000000008
BS_Data    0000000004340000-0000000004340FFF 0000000000000001 0000000000000008
LoaderData 0000000004341000-0000000004341FFF 0000000000000001 0000000000000008
BS_Data    0000000004342000-0000000004342FFF 0000000000000001 0000000000000008
LoaderData 0000000004343000-0000000004343FFF 0000000000000001 0000000000000008
BS_Data    0000000004344000-0000000004344FFF 0000000000000001 0000000000000008
LoaderData 0000000004345000-0000000004345FFF 0000000000000001 0000000000000008
BS_Data    0000000004346000-0000000004346FFF 0000000000000001 0000000000000008
LoaderData 0000000004347000-0000000004347FFF 0000000000000001 0000000000000008
BS_Data    0000000004348000-0000000004348FFF 0000000000000001 0000000000000008
LoaderData 0000000004349000-0000000004349FFF 0000000000000001 0000000000000008
BS_Data    000000000434A000-000000000434AFFF 0000000000000001 0000000000000008
LoaderData 000000000434B000-000000000434BFFF 0000000000000001 0000000000000008
BS_Data    000000000434C000-000000000434CFFF 0000000000000001 0000000000000008
LoaderData 000000000434D000-000000000434DFFF 0000000000000001 0000000000000008
BS_Data    000000000434E000-000000000434EFFF 0000000000000001 0000000000000008
LoaderData 000000000434F000-000000000434FFFF 0000000000000001 0000000000000008
BS_Data    0000000004350000-0000000004350FFF 0000000000000001 0000000000000008
LoaderData 0000000004351000-0000000004351FFF 0000000000000001 0000000000000008
BS_Data    0000000004352000-0000000004352FFF 0000000000000001 0000000000000008
LoaderData 0000000004353000-0000000004353FFF 0000000000000001 0000000000000008
BS_Data    0000000004354000-0000000004354FFF 0000000000000001 0000000000000008
LoaderData 0000000004355000-0000000004355FFF 0000000000000001 0000000000000008
BS_Data    0000000004356000-0000000004356FFF 0000000000000001 0000000000000008
LoaderData 0000000004357000-0000000004357FFF 0000000000000001 0000000000000008
BS_Data    0000000004358000-0000000004358FFF 0000000000000001 0000000000000008
LoaderData 0000000004359000-0000000004359FFF 0000000000000001 0000000000000008
BS_Data    000000000435A000-000000000435AFFF 0000000000000001 0000000000000008
LoaderData 000000000435B000-000000000435BFFF 0000000000000001 0000000000000008
BS_Data    000000000435C000-000000000435CFFF 0000000000000001 0000000000000008
LoaderData 000000000435D000-000000000435DFFF 0000000000000001 0000000000000008
BS_Data    000000000435E000-000000000435EFFF 0000000000000001 0000000000000008
LoaderData 000000000435F000-000000000435FFFF 0000000000000001 0000000000000008
BS_Data    0000000004360000-0000000004360FFF 0000000000000001 0000000000000008
LoaderData 0000000004361000-0000000004361FFF 0000000000000001 0000000000000008
BS_Data    0000000004362000-0000000004362FFF 0000000000000001 0000000000000008
LoaderData 0000000004363000-0000000004363FFF 0000000000000001 0000000000000008
BS_Data    0000000004364000-0000000004364FFF 0000000000000001 0000000000000008
LoaderData 0000000004365000-0000000004365FFF 0000000000000001 0000000000000008
