"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"BootServicesTest\ProtocolHandlerServicesTest","146","6","140"
"Total service\Protocol","146","6","140"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.16","0","0","4FA1CF88-D6B6-48ED-B889-AA1147B3C08B","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12574:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.19","0","0","FBF6E1E7-915A-450C-8F89-4FC328711FF7","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12612:ExpectedHandleCount - 10, NoHandles - 10, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.22","0","0","98C2F02B-0875-4B69-B9B8-A858FED928F7","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle and device path at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12648:Status - Success, TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.25","0","0","E9CC5DE6-3847-4AF8-A941-3939C9308512","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle and device path at EFI_TPL_CALLBACK.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12672:TPL - 8","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.14","0","0","DC039A94-58DA-4794-87AE-8FB49A50D6F8","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12536:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.17","0","0","62E2A15A-D00B-43B1-9228-06E01923E722","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12574:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.20","0","0","D29D9DB1-8433-43B5-8353-B2B643281269","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12612:ExpectedHandleCount - 10, NoHandles - 10, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.23","0","0","F36C7D9B-12EA-4DC1-ADBA-2506B7E53957","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle and device path at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12648:Status - Success, TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.26","0","0","FA25DAFA-F36B-45F6-8859-85D88EDE106B","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle and device path at EFI_TPL_NOTIFY.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12672:TPL - 16","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
"BootServicesTest\ProtocolHandlerServicesTest","5.1.3.11.27","0","0","08EDA2DE-CD07-42B6-85CB-6875695EEE61","PASS","BS.ConnectController - ConnectController() returns EFI_SUCCESS with bus driver handle non-recursively at EFI_TPL_APPLICATION.","/home/supven01/work/sct_workspace/edk2/SctPkg/TestCase/UEFI/EFI/BootServices/ProtocolHandlerServices/BlackBoxTest/ProtocolHandlerBBTestFunction_3.c:12876:Status - Success, TPL - 4","0x00010002","705E2497-1B8F-4307-91E1-F33F2F2B5506"
